phis,ndkls,ers,eeds,arps,awrfs,trials,test_num
original,0.006475284103670605,0.9779141442397704,0.11120954502837183,0.08808631202957073,0.9574655474641017,0,1
0,0.4771316887679212,0.8285651702725259,0.11285398658724186,1.0,0.6096697283279978,0,2
0,0.4771316887679212,0.8285651702725259,0.11285398658724186,1.0,0.6096697283279978,1,3
0,0.4771316887679212,0.8285651702725259,0.11285398658724186,1.0,0.6096697283279978,2,4
0,0.4771316887679212,0.8285651702725259,0.11285398658724186,1.0,0.6096697283279978,3,5
0,0.4771316887679212,0.8285651702725259,0.11285398658724186,1.0,0.6096697283279978,4,6
0,0.4771316887679212,0.8285651702725259,0.11285398658724186,1.0,0.6096697283279978,5,7
0,0.4771316887679212,0.8285651702725259,0.11285398658724186,1.0,0.6096697283279978,6,8
0,0.4771316887679212,0.8285651702725259,0.11285398658724186,1.0,0.6096697283279978,7,9
0,0.4771316887679212,0.8285651702725259,0.11285398658724186,1.0,0.6096697283279978,8,10
0,0.4771316887679212,0.8285651702725259,0.11285398658724186,1.0,0.6096697283279978,9,11
0.1,0.36441279586390724,0.840290458743965,0.11268452093062097,0.9534244736455384,0.6266007218674178,0,12
0.1,0.3652664006284589,0.8402879110901638,0.11268455690374048,0.9557696130927216,0.6257526051489025,1,13
0.1,0.3640343350595139,0.8422926113413433,0.11265636283280904,0.954808207573917,0.6260234394233449,2,14
0.1,0.3568851272396999,0.8419833819210835,0.11266069715985902,0.9511250787416243,0.6274225926120003,3,15
0.1,0.3547003035603956,0.8422836620299335,0.11265648819615422,0.9523529081473017,0.6271043167972299,4,16
0.1,0.36095376770747817,0.8408203215759695,0.11267704713351878,0.9527631543842054,0.6268638804293355,5,17
0.1,0.35938471915437437,0.8413838987017841,0.11266911506848203,0.952691191868513,0.6268593869382275,6,18
0.1,0.354839366978995,0.8420849393596799,0.11265927308665942,0.9502307926013087,0.6278073138981553,7,19
0.1,0.3540859465670449,0.8417451248777696,0.11266404034450705,0.9488458949509164,0.6283237236811047,8,20
0.1,0.36286331075535955,0.8407028192266097,0.11267870316294276,0.9538107266726916,0.6264296999616892,9,21
0.2,0.29163485486037133,0.8521141647162122,0.11252145149569633,0.9039982733103489,0.6446635947857942,0,22
0.2,0.28132908283273805,0.8537770407881964,0.11249913224542639,0.8964385810881241,0.6474249612756175,1,23
0.2,0.28575036698272593,0.8534754688867194,0.11250316885569348,0.9034112611222946,0.6448873003686155,2,24
0.2,0.28124836838890166,0.8542588383224594,0.11249269346701421,0.898826983612518,0.6466347309295586,3,25
0.2,0.28144001985702277,0.8542361266726483,0.11249299670579667,0.9010278728706946,0.6458739015306166,4,26
0.2,0.2913708421164459,0.8520669304681131,0.11252208766652824,0.9036791738888026,0.644716827096577,5,27
0.2,0.2773383589558273,0.8563363400756783,0.11246507279242715,0.9001800158160089,0.6461950812894968,6,28
0.2,0.28927866562351723,0.8521843821293862,0.11252050600172538,0.9017320444838215,0.6454505348457571,7,29
0.2,0.2838446345819781,0.8531298552033784,0.11250780102335547,0.8982684997273553,0.6468184137198839,8,30
0.2,0.2986364706561607,0.8504529545447518,0.11254389827112277,0.9082179635586956,0.6430141164045946,9,31
0.3,0.22412714338377532,0.8670253800160612,0.11232659002394547,0.8441171944051873,0.6666875294240746,0,32
0.3,0.2199469261506218,0.8672096979642129,0.11232425472542758,0.8430237235514009,0.6672027269493017,1,33
0.3,0.2248194389279298,0.8657644409174413,0.11234261349703552,0.8468978568159515,0.6658122465301538,2,34
0.3,0.22954541717030624,0.8646010201106996,0.11235747136077767,0.8464783521436161,0.6656805174074595,3,35
0.3,0.2227084717079124,0.8662867937776308,0.11233596560846489,0.8417511250753189,0.6676396905911318,4,36
0.3,0.21746995975603373,0.8676349297848744,0.11231887379679885,0.8405710767264343,0.6682031044208543,5,37
0.3,0.21602528353273412,0.8697518680293349,0.11229222532156612,0.840149518427016,0.6683261666257342,6,38
0.3,0.22349802967237448,0.866084510897868,0.11233853833687636,0.8433576604286204,0.6670137541363783,7,39
0.3,0.21631709460663803,0.8678487414844516,0.11231617174872935,0.8358831252760952,0.6698672112694569,8,40
0.3,0.22876031355428342,0.8644823682809278,0.11235899062431973,0.8451746583307891,0.6662905183792669,9,41
0.4,0.16528714862159227,0.8816336051443809,0.11214690764936358,0.7705926386128543,0.694103922458276,0,42
0.4,0.1639379214390023,0.8829234221174697,0.1121315607708627,0.7734762048540249,0.6930835004843752,1,43
0.4,0.16741717651300797,0.882660684393435,0.11213468023878813,0.7808604830962618,0.6904291833894991,2,44
0.4,0.1675558774699348,0.8810600449817665,0.11215375878714308,0.7739822699078995,0.6929749996292265,3,45
0.4,0.15633788562737566,0.885877118402714,0.11209672718106488,0.767393327207706,0.6958073887853454,4,46
0.4,0.1675208832520132,0.8808984437121515,0.11215569207009372,0.7717389732504634,0.6937118608553718,5,47
0.4,0.1704619692890797,0.8806672026828,0.11215846074419279,0.7735148472702993,0.6929042753431043,6,48
0.4,0.16712769423186966,0.8806975310771558,0.11215809746666619,0.7700899791572253,0.6943538538145837,7,49
0.4,0.16041452175687212,0.88294692880993,0.11213128184465887,0.7629951083116295,0.6970004856852191,8,50
0.4,0.1598029157534949,0.8845892373216557,0.11211186237352565,0.7680655478061367,0.6951589749678152,9,51
0.5,0.12145718951293037,0.895943677101233,0.11198121755356528,0.694794512277173,0.7228121744462961,0,52
0.5,0.1252999540111385,0.8941410511441107,0.11200154128341955,0.7003928537268684,0.7206746513991493,1,53
0.5,0.11646864515934253,0.8991987359057391,0.11194491188919091,0.6893505864705438,0.7250315302219766,2,54
0.5,0.1213385991314579,0.896033787295373,0.11198020569433281,0.6932989754676959,0.7232452366207306,3,55
